Слово,Семантическая роль,Полная семантическая разметка
ровесницы,аудитория,t:hum;d:fem;r:concr;der:s
Соня,агенс,der:v;t:hum;t:pers;r:concr;ev:neg
Соня,аудитория,der:v;t:hum;t:pers;r:concr;ev:neg
Елена,агенс,t:hum;r:propn;t:persn
Елена,адресат,t:hum;r:propn;t:persn
Елена,аудитория,t:hum;r:propn;t:persn
Калинина,агенс,t:hum;r:propn;t:famn
Калинина,аудитория,t:hum;r:propn;t:famn
здесь,адресат,t:place;r:dem
девочка,агенс,t:hum;r:concr
девочка,аудитория,t:hum;r:concr
женщина,агенс,t:hum;r:concr
женщина,аудитория,t:hum;r:concr
баба,агенс,t:food;t:tool;pc:tool:device;pt:part;t:hum;r:concr
баба,аудитория,t:food;t:tool;pc:tool:device;pt:part;t:hum;r:concr
мужиками,агенс,t:hum;r:concr;der:s
мужиками,аудитория,t:hum;r:concr;der:s
ночные,аспект,dt:abstr;dt:time;r:rel;der:s;t:time
Войницкий,агенс,t:hum;r:propn;t:famn
Войницкий,аудитория,t:hum;r:propn;t:famn
Сергей,агенс,t:hum;r:propn;t:persn
Сергей,адресат,t:hum;r:propn;t:persn
Сергей,аудитория,t:hum;r:propn;t:persn
Курышев,агенс,t:hum;r:propn;t:famn
Курышев,аудитория,t:hum;r:propn;t:famn
Соню,агенс,der:v;t:hum;t:pers;r:concr;ev:neg
Соню,аудитория,der:v;t:hum;t:pers;r:concr;ev:neg
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
Астрова,агенс,t:hum;r:propn;t:famn
Астрова,аудитория,t:hum;r:propn;t:famn
любовью,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовью,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовью,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
доктора,агенс,t:hum;r:concr
доктора,аудитория,t:hum;r:concr
Организаторы,агенс,der:v;t:hum;r:concr;d:nag
Организаторы,аудитория,der:v;t:hum;r:concr;d:nag
нового,аспект,t:time;r:qual
Новом,аспект,t:time;r:qual
ассоциации,агенс,pt:set;sc:hum;sc:org;r:concr;t:org
ассоциации,адресат,pt:set;sc:hum;sc:org;r:concr;t:org
весну,аспект,t:time:season;r:abstr;t:time
внутри,адресат,t:place
рыбки,агенс,t:hum;ev:posit;r:concr;der:s;d:dim
рыбки,аудитория,t:hum;ev:posit;r:concr;der:s;d:dim
Надежда,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
Надежда,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
Надежда,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
Анатольевна,агенс,t:hum;t:patrn;r:propn;der:s
Анатольевна,аудитория,t:hum;t:patrn;r:propn;der:s
Шагрова,агенс,t:hum;r:propn;t:famn
Шагрова,аудитория,t:hum;r:propn;t:famn
любовь,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
апрельский,аспект,dt:abstr;dt:time:month;r:rel;der:s;t:time
день,аспект,pc:day;r:abstr;pt:part;t:time
зимних,аспект,dt:time;dt:abstr;dt:time:season;der:s;t:time;r:rel
Пора,аспект,t:space;r:abstr;t:time;pc:partb;r:concr;top:hole
время,аспект,r:abstr;t:param;t:time
надежд,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
надежд,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
надежд,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
светлых,атрибут,t:physq:color;r:qual
весна,аспект,t:time:season;r:abstr;t:time
номинантами,агенс,der:v;t:hum;r:concr
номинантами,аудитория,der:v;t:hum;r:concr
Ника,агенс,t:hum;r:propn;t:persn
Ника,адресат,t:hum;r:propn;t:persn
Ника,аудитория,t:hum;r:propn;t:persn
весны,аспект,t:time:season;r:abstr;t:time
Петр,агенс,t:hum;r:propn;t:persn
Петр,адресат,t:hum;r:propn;t:persn
Петр,аудитория,t:hum;r:propn;t:persn
Ефимович,агенс,t:hum;t:patrn;r:propn;der:s;t:famn
Ефимович,аудитория,t:hum;t:patrn;r:propn;der:s;t:famn
веру,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
веру,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
веру,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
любовь,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
весной,аспект,t:time:season;r:abstr;t:time
весна,аспект,t:time:season;r:abstr;t:time
Девушек,агенс,t:hum;r:concr;der:s
Девушек,аудитория,t:hum;r:concr;der:s
календаря,аспект,r:abstr;t:time
зачинщица,агенс,t:hum;d:fem;r:concr;d:nag;der:s
зачинщица,аудитория,t:hum;d:fem;r:concr;d:nag;der:s
Крис,агенс,t:hum;r:propn;t:persn
Крис,адресат,t:hum;r:propn;t:persn
Крис,аудитория,t:hum;r:propn;t:persn
где,адресат,t:place;r:rel
Слава,агенс,ev:posit;r:abstr;t:persn;d:dimb;r:propn;der:s;t:hum
Слава,адресат,ev:posit;r:abstr;t:persn;d:dimb;r:propn;der:s;t:hum
Слава,аудитория,ev:posit;r:abstr;t:persn;d:dimb;r:propn;der:s;t:hum
Крис,агенс,t:hum;r:propn;t:persn
Крис,адресат,t:hum;r:propn;t:persn
Крис,аудитория,t:hum;r:propn;t:persn
своевременный,аспект,der:comp;t:time;r:qual
иногда,аспект,r:spec;t:time
Роберта,агенс,t:hum;r:propn;t:persn
Роберта,адресат,t:hum;r:propn;t:persn
Роберта,аудитория,t:hum;r:propn;t:persn
девушки,агенс,t:hum;r:concr;der:s
девушки,аудитория,t:hum;r:concr;der:s
новым,аспект,t:time;r:qual
подобных,атрибут,t:qual
опекуном,агенс,der:v;t:hum;r:concr;d:nag
опекуном,аудитория,der:v;t:hum;r:concr;d:nag
Роберту,агенс,t:hum;r:propn;t:persn
Роберту,адресат,t:hum;r:propn;t:persn
Роберту,аудитория,t:hum;r:propn;t:persn
Любовь,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
Любовь,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
Любовь,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
подобным,атрибут,t:qual
производителя,агенс,der:v;t:hum;r:concr;d:nag;t:org
производителя,адресат,der:v;t:hum;r:concr;d:nag;t:org
производителя,аудитория,der:v;t:hum;r:concr;d:nag;t:org
время,аспект,r:abstr;t:param;t:time
настоящая,аспект,r:rel;t:time
любовь,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
подобного,атрибут,t:qual
герои,агенс,t:hum;ev:posit;r:concr
герои,аудитория,t:hum;ev:posit;r:concr
герой,агенс,t:hum;ev:posit;r:concr
герой,аудитория,t:hum;ev:posit;r:concr
Андрея,агенс,t:hum;r:propn;t:persn
Андрея,адресат,t:hum;r:propn;t:persn
Андрея,аудитория,t:hum;r:propn;t:persn
Кузичева,агенс,t:hum;r:propn;t:famn
Кузичева,аудитория,t:hum;r:propn;t:famn
актёра,агенс,t:hum;r:concr;t:prof
актёра,аудитория,t:hum;r:concr;t:prof
небезупречна,атрибут,dt:qual;d:neg;der:a;t:qual;r:qual
всегда,аспект,r:spec;t:time
героя,агенс,t:hum;ev:posit;r:concr
героя,аудитория,t:hum;ev:posit;r:concr
Недавно,аспект,dt:time;der:adv;t:time
человека,агенс,t:hum;r:concr
человека,аудитория,t:hum;r:concr
время,аспект,r:abstr;t:param;t:time
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
Режиссёр,агенс,der:v;t:hum;r:concr;d:nag;t:prof
Режиссёр,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
актёр,агенс,t:hum;r:concr;t:prof
актёр,аудитория,t:hum;r:concr;t:prof
человека,агенс,t:hum;r:concr
человека,аудитория,t:hum;r:concr
обычно,аспект,der:a;t:time
внутреннее,адресат,t:place;r:rel
герои,агенс,t:hum;ev:posit;r:concr
герои,аудитория,t:hum;ev:posit;r:concr
порой,аспект,t:space;r:abstr;t:time;pc:partb;r:concr;top:hole
исполнителей,агенс,der:v;t:hum;r:concr;d:nag
исполнителей,аудитория,der:v;t:hum;r:concr;d:nag
где,адресат,t:place;r:rel
классика,агенс,t:hum;ev:posit;r:concr;der:a
классика,аудитория,t:hum;ev:posit;r:concr;der:a
зрителя,агенс,der:v;t:hum;r:concr;d:nag
зрителя,аудитория,der:v;t:hum;r:concr;d:nag
понятыми,агенс,sc:hum;t:hum;r:concr
понятыми,аудитория,sc:hum;t:hum;r:concr
где,адресат,t:place;r:rel
Терри,агенс,t:hum;r:propn;t:persn
Терри,адресат,t:hum;r:propn;t:persn
Терри,аудитория,t:hum;r:propn;t:persn
женщина,агенс,t:hum;r:concr
женщина,аудитория,t:hum;r:concr
любовь,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
Терри,агенс,t:hum;r:propn;t:persn
Терри,адресат,t:hum;r:propn;t:persn
Терри,аудитория,t:hum;r:propn;t:persn
хранителя,агенс,der:v;t:hum;r:concr;d:nag
хранителя,аудитория,der:v;t:hum;r:concr;d:nag
Отсюда,адресат,t:place;der:advpro;r:dem
Нина,агенс,t:hum;r:propn;t:persn
Нина,адресат,t:hum;r:propn;t:persn
Нина,аудитория,t:hum;r:propn;t:persn
белом,атрибут,t:physq:color;r:qual
героинь,агенс,t:hum;ev:posit;d:fem;r:concr;der:s
героинь,аудитория,t:hum;ev:posit;d:fem;r:concr;der:s
раннего,аспект,t:time;r:qual
здесь,адресат,t:place;r:dem
Штайна,агенс,t:hum;r:propn;t:famn
Штайна,аудитория,t:hum;r:propn;t:famn
времени,аспект,r:abstr;t:param;t:time
надежду,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
надежду,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
надежду,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
дня,аспект,pc:day;r:abstr;pt:part;t:time
здесь,адресат,t:place;r:dem
Нина,агенс,t:hum;r:propn;t:persn
Нина,адресат,t:hum;r:propn;t:persn
Нина,аудитория,t:hum;r:propn;t:persn
Тригорину,агенс,t:hum;r:propn;t:famn
Тригорину,аудитория,t:hum;r:propn;t:famn
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
тёмном,атрибут,t:physq:color;r:qual
предыдущего,адресат,t:place;der:comp;r:rel
Режиссёр,агенс,der:v;t:hum;r:concr;d:nag;t:prof
Режиссёр,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
Михаил,агенс,t:hum;r:propn;t:persn
Михаил,адресат,t:hum;r:propn;t:persn
Михаил,аудитория,t:hum;r:propn;t:persn
Бычков,агенс,t:hum;r:propn;t:famn
Бычков,аудитория,t:hum;r:propn;t:famn
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
владелица,агенс,t:hum;d:fem;r:concr;der:s
владелица,аудитория,t:hum;d:fem;r:concr;der:s
лавки,агенс,t:constr;r:concr;t:org;t:tool:furn
лавки,адресат,t:constr;r:concr;t:org;t:tool:furn
красавица,агенс,t:hum;d:fem;r:concr;der:s
красавица,аудитория,t:hum;d:fem;r:concr;der:s
талмудиста,агенс,t:hum;r:concr;der:s
талмудиста,аудитория,t:hum;r:concr;der:s
любовь,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
юноша,агенс,t:hum;r:concr;der:a
юноша,аудитория,t:hum;r:concr;der:a
всегда,аспект,r:spec;t:time
нового,аспект,t:time;r:qual
мужчины,агенс,t:hum;r:concr;der:s
мужчины,аудитория,t:hum;r:concr;der:s
актёр,агенс,t:hum;r:concr;t:prof
актёр,аудитория,t:hum;r:concr;t:prof
Ивашкевич,агенс,t:hum;r:propn;t:famn
Ивашкевич,аудитория,t:hum;r:propn;t:famn
студент,агенс,t:hum;r:concr
студент,аудитория,t:hum;r:concr
настоящей,аспект,r:rel;t:time
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
каббалист,агенс,t:hum;r:concr
каббалист,аудитория,t:hum;r:concr
сказочник,агенс,t:hum;r:concr;der:s
сказочник,аудитория,t:hum;r:concr;der:s
любимой,агенс,der:v;t:hum;r:concr;der:subst
любимой,аудитория,der:v;t:hum;r:concr;der:subst
Актёр,агенс,t:hum;r:concr;t:prof
Актёр,аудитория,t:hum;r:concr;t:prof
герой,агенс,t:hum;ev:posit;r:concr
герой,аудитория,t:hum;ev:posit;r:concr
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
аналитиков,агенс,t:hum;r:concr;der:s
аналитиков,аудитория,t:hum;r:concr;der:s
предприятий,агенс,der:v;r:concr;t:org
предприятий,адресат,der:v;r:concr;t:org
предприятия,агенс,der:v;r:concr;t:org
предприятия,адресат,der:v;r:concr;t:org
предприятия,агенс,der:v;r:concr;t:org
предприятия,адресат,der:v;r:concr;t:org
здесь,адресат,t:place;r:dem
предприятия,агенс,der:v;r:concr;t:org
предприятия,адресат,der:v;r:concr;t:org
филиалы,агенс,pt:addit;r:concr;t:org;pc:org
филиалы,адресат,pt:addit;r:concr;t:org;pc:org
директора,агенс,t:hum;r:concr;d:nag
директора,аудитория,t:hum;r:concr;d:nag
Игоря,агенс,t:hum;r:propn;t:persn
Игоря,адресат,t:hum;r:propn;t:persn
Игоря,аудитория,t:hum;r:propn;t:persn
Бурштейна,агенс,t:hum;r:propn;t:famn
Бурштейна,аудитория,t:hum;r:propn;t:famn
уже,аспект,t:time
господин,агенс,t:hum;r:concr
господин,аудитория,t:hum;r:concr
Бурштейн,агенс,t:hum;r:propn;t:famn
Бурштейн,аудитория,t:hum;r:propn;t:famn
предприятии,агенс,der:v;r:concr;t:org
предприятии,адресат,der:v;r:concr;t:org
консультантами,агенс,der:v;t:hum;r:concr;d:nag;t:prof
консультантами,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
уже,аспект,t:time
Сегодня,аспект,der:comp;t:time
страховщики,агенс,der:v;t:hum;r:concr;t:org;d:nag
страховщики,адресат,der:v;t:hum;r:concr;t:org;d:nag
страховщики,аудитория,der:v;t:hum;r:concr;t:org;d:nag
всегда,аспект,r:spec;t:time
клиентом,агенс,t:hum;r:concr
клиентом,аудитория,t:hum;r:concr
страхователе,агенс,der:v;t:hum;r:concr;t:org;d:nag
страхователе,адресат,der:v;t:hum;r:concr;t:org;d:nag
страхователе,аудитория,der:v;t:hum;r:concr;t:org;d:nag
страховщики,агенс,der:v;t:hum;r:concr;t:org;d:nag
страховщики,адресат,der:v;t:hum;r:concr;t:org;d:nag
страховщики,аудитория,der:v;t:hum;r:concr;t:org;d:nag
клиента,агенс,t:hum;r:concr
клиента,аудитория,t:hum;r:concr
предприятии,агенс,der:v;r:concr;t:org
предприятии,адресат,der:v;r:concr;t:org
уже,аспект,t:time
клиентам,агенс,t:hum;r:concr
клиентам,аудитория,t:hum;r:concr
подобной,атрибут,t:qual
предприятиям,агенс,der:v;r:concr;t:org
предприятиям,адресат,der:v;r:concr;t:org
клиент,агенс,t:hum;r:concr
клиент,аудитория,t:hum;r:concr
партнёром,агенс,t:hum;r:concr
партнёром,аудитория,t:hum;r:concr
страхователем,агенс,der:v;t:hum;r:concr;t:org;d:nag
страхователем,адресат,der:v;t:hum;r:concr;t:org;d:nag
страхователем,аудитория,der:v;t:hum;r:concr;t:org;d:nag
начальник,агенс,t:hum;r:concr
начальник,аудитория,t:hum;r:concr
Любовь,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
Любовь,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
Любовь,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
Кузнецова,агенс,t:hum;r:propn;t:famn
Кузнецова,аудитория,t:hum;r:propn;t:famn
клиента,агенс,t:hum;r:concr
клиента,аудитория,t:hum;r:concr
современных,аспект,r:rel;der:s;t:time
уже,аспект,t:time
давно,аспект,t:time
предприятию,агенс,der:v;r:concr;t:org
предприятию,адресат,der:v;r:concr;t:org
настоящим,аспект,r:rel;t:time
профессионалам,агенс,t:hum;ev:posit;r:concr;der:a
профессионалам,аудитория,t:hum;ev:posit;r:concr;der:a
Павел,агенс,t:hum;r:propn;t:persn
Павел,адресат,t:hum;r:propn;t:persn
Павел,аудитория,t:hum;r:propn;t:persn
Лунгин,агенс,t:hum;r:propn;t:famn
Лунгин,аудитория,t:hum;r:propn;t:famn
человека,агенс,t:hum;r:concr
человека,аудитория,t:hum;r:concr
времени,аспект,r:abstr;t:param;t:time
представители,агенс,der:v;t:hum;r:concr;d:nag
представители,аудитория,der:v;t:hum;r:concr;d:nag
там,адресат,t:place;r:dem
где,адресат,t:place;r:rel
Березовского,агенс,t:hum;r:propn;t:famn;der:subst
Березовского,аудитория,t:hum;r:propn;t:famn;der:subst
назавтра,аспект,der:adv;t:time
прокуратура,агенс,r:concr;t:org;der:s
прокуратура,адресат,r:concr;t:org;der:s
Бориса,агенс,t:hum;r:propn;t:persn
Бориса,адресат,t:hum;r:propn;t:persn
Бориса,аудитория,t:hum;r:propn;t:persn
Абрамовича,агенс,t:hum;t:patrn;r:propn;der:s
Абрамовича,аудитория,t:hum;t:patrn;r:propn;der:s
Павла,агенс,t:hum;r:propn;t:persn
Павла,адресат,t:hum;r:propn;t:persn
Павла,аудитория,t:hum;r:propn;t:persn
Лунгина,агенс,t:hum;r:propn;t:famn
Лунгина,аудитория,t:hum;r:propn;t:famn
Олигарх,агенс,t:hum;r:concr
Олигарх,аудитория,t:hum;r:concr
поначалу,аспект,der:s;t:time
гражданам,агенс,t:hum;r:concr
гражданам,аудитория,t:hum;r:concr
дня,аспект,pc:day;r:abstr;pt:part;t:time
кинотеатре,агенс,der:comp;r:concr;t:org
кинотеатре,адресат,der:comp;r:concr;t:org
Юлия,агенс,t:hum;r:propn;t:persn
Юлия,адресат,t:hum;r:propn;t:persn
Юлия,аудитория,t:hum;r:propn;t:persn
Прототипом,агенс,der:comp;t:hum;r:concr
Прототипом,аудитория,der:comp;t:hum;r:concr
героя,агенс,t:hum;ev:posit;r:concr
героя,аудитория,t:hum;ev:posit;r:concr
Березовский,агенс,t:hum;r:propn;t:famn;der:subst
Березовский,аудитория,t:hum;r:propn;t:famn;der:subst
Лунгина,агенс,t:hum;r:propn;t:famn
Лунгина,аудитория,t:hum;r:propn;t:famn
олигархе,агенс,t:hum;r:concr
олигархе,аудитория,t:hum;r:concr
Березовском,агенс,t:hum;r:propn;t:famn;der:subst
Березовском,аудитория,t:hum;r:propn;t:famn;der:subst
Олигархе,агенс,t:hum;r:concr
Олигархе,аудитория,t:hum;r:concr
скорее,аспект,dt:speed:max;der:a;t:time
Олигарх,агенс,t:hum;r:concr
Олигарх,аудитория,t:hum;r:concr
преднамеренного,аспект,dt:abstr;r:rel;der:s;dt:ment;t:time
буржуев,агенс,t:hum;r:concr;der:s;ev:neg
буржуев,аудитория,t:hum;r:concr;der:s;ev:neg
дни,аспект,pc:day;r:abstr;pt:part;t:time
Платона,агенс,t:hum;r:propn;t:persn
Платона,адресат,t:hum;r:propn;t:persn
Платона,аудитория,t:hum;r:propn;t:persn
Маковского,агенс,t:hum;r:propn;t:famn
Маковского,аудитория,t:hum;r:propn;t:famn
владельца,агенс,der:v;t:hum;r:concr
владельца,аудитория,der:v;t:hum;r:concr
период,аспект,r:abstr;t:time
Будущий,аспект,der:v;r:rel;dt:be:exist;t:time
магнат,агенс,t:hum;r:concr
магнат,аудитория,t:hum;r:concr
математика,агенс,t:hum;r:concr;der:s;t:prof
математика,аудитория,t:hum;r:concr;der:s;t:prof
Следователь,агенс,der:v;t:hum;r:concr;d:nag
Следователь,аудитория,der:v;t:hum;r:concr;d:nag
Шмаков,агенс,t:hum;r:propn;t:famn
Шмаков,аудитория,t:hum;r:propn;t:famn
заказчиков,агенс,der:v;t:hum;r:concr;d:nag
заказчиков,аудитория,der:v;t:hum;r:concr;d:nag
чёрные,атрибут,t:physq:color;r:qual
прошлое,аспект,der:v;der:subst;r:abstr;t:time
зрителя,агенс,der:v;t:hum;r:concr;d:nag
зрителя,аудитория,der:v;t:hum;r:concr;d:nag
героя,агенс,t:hum;ev:posit;r:concr
героя,аудитория,t:hum;ev:posit;r:concr
авторам,агенс,t:hum;r:concr;d:nag
авторам,аудитория,t:hum;r:concr;d:nag
комбинатора,агенс,t:hum;ev;r:concr;d:nag;der:s
комбинатора,аудитория,t:hum;ev;r:concr;d:nag;der:s
романтика,агенс,t:hum;r:concr;der:s
романтика,аудитория,t:hum;r:concr;der:s
Маковский,агенс,t:hum;r:propn;t:famn
Маковский,аудитория,t:hum;r:propn;t:famn
Платон,агенс,t:hum;r:propn;t:persn
Платон,адресат,t:hum;r:propn;t:persn
Платон,аудитория,t:hum;r:propn;t:persn
любовь,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовь,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
героине,агенс,t:hum;ev:posit;d:fem;r:concr;der:s
героине,аудитория,t:hum;ev:posit;d:fem;r:concr;der:s
Марии,агенс,t:hum;r:propn;t:persn
Марии,адресат,t:hum;r:propn;t:persn
Марии,аудитория,t:hum;r:propn;t:persn
Мироновой,агенс,t:hum;r:propn;t:famn
Мироновой,аудитория,t:hum;r:propn;t:famn
олигарху,агенс,t:hum;r:concr
олигарху,аудитория,t:hum;r:concr
девками,агенс,t:hum;ev;r:concr;der:s;ev:nonev
девками,аудитория,t:hum;ev;r:concr;der:s;ev:nonev
герой,агенс,t:hum;ev:posit;r:concr
герой,аудитория,t:hum;ev:posit;r:concr
Платон,агенс,t:hum;r:propn;t:persn
Платон,адресат,t:hum;r:propn;t:persn
Платон,аудитория,t:hum;r:propn;t:persn
альянсе,агенс,pt:set;sc:org;r:concr;t:org
альянсе,адресат,pt:set;sc:org;r:concr;t:org
соратников,агенс,t:hum;r:concr;der:s
соратников,аудитория,t:hum;r:concr;der:s
олигарха,агенс,t:hum;r:concr
олигарха,аудитория,t:hum;r:concr
режиссёр,агенс,der:v;t:hum;r:concr;d:nag;t:prof
режиссёр,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
Лунгин,агенс,t:hum;r:propn;t:famn
Лунгин,аудитория,t:hum;r:propn;t:famn
человека,агенс,t:hum;r:concr
человека,аудитория,t:hum;r:concr
Владимир,агенс,t:hum;r:propn;t:persn
Владимир,адресат,t:hum;r:propn;t:persn
Владимир,аудитория,t:hum;r:propn;t:persn
Машков,агенс,t:hum;r:propn;t:famn
Машков,аудитория,t:hum;r:propn;t:famn
Березовского,агенс,t:hum;r:propn;t:famn;der:subst
Березовского,аудитория,t:hum;r:propn;t:famn;der:subst
прокатчиков,агенс,t:hum;r:concr;der:s;t:prof
прокатчиков,аудитория,t:hum;r:concr;der:s;t:prof
Платона,агенс,t:hum;r:propn;t:persn
Платона,адресат,t:hum;r:propn;t:persn
Платона,аудитория,t:hum;r:propn;t:persn
прототипом,агенс,der:comp;t:hum;r:concr
прототипом,аудитория,der:comp;t:hum;r:concr
герой,агенс,t:hum;ev:posit;r:concr
герой,аудитория,t:hum;ev:posit;r:concr
романтиком,агенс,t:hum;r:concr;der:s
романтиком,аудитория,t:hum;r:concr;der:s
авантюристом,агенс,t:hum;r:concr;der:s;ev:neg
авантюристом,аудитория,t:hum;r:concr;der:s;ev:neg
Владимира,агенс,t:hum;r:propn;t:persn
Владимира,адресат,t:hum;r:propn;t:persn
Владимира,аудитория,t:hum;r:propn;t:persn
Машкова,агенс,t:hum;r:propn;t:famn
Машкова,аудитория,t:hum;r:propn;t:famn
персонажей,агенс,t:hum;r:concr
персонажей,аудитория,t:hum;r:concr
следователь,агенс,der:v;t:hum;r:concr;d:nag
следователь,аудитория,der:v;t:hum;r:concr;d:nag
Шмаков,агенс,t:hum;r:propn;t:famn
Шмаков,аудитория,t:hum;r:propn;t:famn
Андрей,агенс,t:hum;r:propn;t:persn
Андрей,адресат,t:hum;r:propn;t:persn
Андрей,аудитория,t:hum;r:propn;t:persn
Краско,агенс,t:hum;r:propn;t:famn
Краско,аудитория,t:hum;r:propn;t:famn
выпивоха,агенс,der:v;t:hum;r:concr;ev:neg
выпивоха,аудитория,der:v;t:hum;r:concr;ev:neg
Лунгин,агенс,t:hum;r:propn;t:famn
Лунгин,аудитория,t:hum;r:propn;t:famn
Платон,агенс,t:hum;r:propn;t:persn
Платон,адресат,t:hum;r:propn;t:persn
Платон,аудитория,t:hum;r:propn;t:persn
Шмаков,агенс,t:hum;r:propn;t:famn
Шмаков,аудитория,t:hum;r:propn;t:famn
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
артиста,агенс,t:hum;r:concr;t:prof
артиста,аудитория,t:hum;r:concr;t:prof
современных,аспект,r:rel;der:s;t:time
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
Будущие,аспект,der:v;r:rel;dt:be:exist;t:time
противники,агенс,t:hum;der:pr;r:concr;t:org;d:nag
противники,адресат,t:hum;der:pr;r:concr;t:org;d:nag
противники,аудитория,t:hum;der:pr;r:concr;t:org;d:nag
Лунгина,агенс,t:hum;r:propn;t:famn
Лунгина,аудитория,t:hum;r:propn;t:famn
олигархов,агенс,t:hum;r:concr
олигархов,аудитория,t:hum;r:concr
Машкова,агенс,t:hum;r:propn;t:famn
Машкова,аудитория,t:hum;r:propn;t:famn
Сторонники,агенс,t:hum;r:concr;der:s
Сторонники,аудитория,t:hum;r:concr;der:s
Платону,агенс,t:hum;r:propn;t:persn
Платону,адресат,t:hum;r:propn;t:persn
Платону,аудитория,t:hum;r:propn;t:persn
Актёр,агенс,t:hum;r:concr;t:prof
Актёр,аудитория,t:hum;r:concr;t:prof
Гамлете,агенс,t:hum;r:propn;t:persn
Гамлете,адресат,t:hum;r:propn;t:persn
Гамлете,аудитория,t:hum;r:propn;t:persn
конкурентам,агенс,t:hum;r:concr
конкурентам,аудитория,t:hum;r:concr
новый,аспект,t:time;r:qual
Валерия,агенс,t:hum;r:propn;t:persn
